Guid,ProductCode,Description,Family,CurrencyIsoCode,QuantityUnitOfMeasure,StockKeepingUnit,DiscontinuedDate,IsAssetizable,ConfigureDuringSale,IsSoldOnlyWithOtherProds
007c0472-e302-433e-88ce-ed4641ab6d17,QB-SRV-PRM-SP,"For mission critical deployments, you need QuantumBit up and running as fast as possible. Select the premium success plan for everything included in the standard plan AND direct access to our advanced support team 24/7.",Services,USD,#N/A,QB-SRV-PRM-SP,#N/A,true,#N/A,false
00f5138d-88e5-4b15-bd5f-51b2290086e1,QB-DRO-OR,#N/A,#N/A,USD,#N/A,QB-DRO-OR,#N/A,true,#N/A,false
0253f876-1214-4c5d-9809-031d71ae2ae2,QB-COMPLETE,QuantumBit Complete Solution,Bundle,USD,#N/A,QB-COMPLETE,#N/A,true,Allowed,false
03584016-0705-406c-8479-76faaea39e3c,QB-SRV-OG-PSHC,Professional services billed at the end of each month based on consumed hours.,Services,USD,#N/A,QB-SRV-OG-PSHC,#N/A,true,#N/A,false
0548fb0a-0741-42b9-b1e2-75982868f358,QB-DRO-AEH-ENV,#N/A,#N/A,USD,#N/A,QB-DRO-AEH-ENV,#N/A,true,#N/A,false
056e6d87-89ae-4731-a80a-2bf8e5b86dc7,QB-DRO-MSG-ENTR,#N/A,#N/A,USD,#N/A,QB-DRO-MSG-ENTR,#N/A,true,#N/A,false
07a1d31d-ac9b-48d4-9571-2d6d65eaab05,QB-SUPP-1000,"System maintenance, administration, and configuration performed by a certified technician. 15% of hardware.",Services,USD,#N/A,QB-SUPP-1000,#N/A,true,#N/A,false
0a64b384-833e-4330-9841-4cf8d5160401,DC001,#N/A,Support,USD,#N/A,#N/A,#N/A,true,NotAllowed,false
0f4b2653-0e05-42ba-a77a-8803eec3263b,QB-API-PREP,API instances remain under management until they are deleted. Instances of API Manager are aggregated using a Max Concurrent model. The usage for a month is the highest number of APIs Managed in a single given hour during a month.,Software,USD,#N/A,QB-API-PREP,#N/A,true,#N/A,false
12bb0795-acd7-4dbf-9e6e-af80fac8f31b,QB-MEM 16GB,16GB RDIMM,Hardware,USD,Each,QB-MEM 16GB,#N/A,true,Allowed,false
146a42af-aac2-4b79-9155-3aad4468c25c,QBO0021,Quickbooks Online product for SMB businesses.,#N/A,USD,#N/A,#N/A,#N/A,true,Allowed,false
16477272-6241-40ec-9f40-483d2be642c7,AT001,#N/A,Support,USD,#N/A,#N/A,#N/A,true,Allowed,false
16cf3d3e-1a23-40d0-8a3a-ee278afe1bce,QB-REDHAT,"Red Hat Enterprise Linux delivers military-grade security, 99.999% uptime, support for business-critical workloads.",3rd Party Software,USD,#N/A,QB-REDHAT,#N/A,true,#N/A,false
1a41a246-4efb-44bb-b9ae-82c227c86843,QB-API-MGMT,Increase productivity by managing all your APIs and microservices from one place.,Software,USD,#N/A,QB-API-MGMT,#N/A,true,#N/A,false
1ad416dd-54d9-416d-9ef6-558d8141f287,QB-STD-SP,"For mission critical deployments, you need QuantumBit up and running as fast as possible. Select the standard success plan for access to documentation, online case management and phone support.",Services,USD,#N/A,QB-STD-SP,#N/A,true,#N/A,false
1dbdb525-5728-4dd2-a6e6-8745cc909d9e,QB-CMPC-5881,These accessories offer the proper cable management options to meet varying needs.,Hardware,USD,#N/A,QB-CMPC-5881,#N/A,true,#N/A,false
